7.372271E-1	7.621100E-1	7.869956E-1	8.128646E-1	8.374505E-1	8.623916E-1	8.879997E-1	9.120157E-1	9.380253E-1	9.625214E-1	9.874802E-1	1.012900E+0	1.037613E+0	1.062715E+0	1.088305E+0
7.378581E-1	7.620268E-1	7.878568E-1	8.121976E-1	8.372451E-1	8.625693E-1	8.876204E-1	9.131156E-1	9.373491E-1	9.636768E-1	9.883821E-1	1.012771E+0	1.038279E+0	1.062677E+0	1.087908E+0
7.374057E-1	7.630581E-1	7.871233E-1	8.133649E-1	8.383302E-1	8.625516E-1	8.881828E-1	9.133210E-1	9.384711E-1	9.629238E-1	9.882747E-1	1.013723E+0	1.038603E+0	1.063676E+0	1.088490E+0
7.379718E-1	7.626290E-1	7.881121E-1	8.132318E-1	8.379111E-1	8.635025E-1	8.885333E-1	9.129463E-1	9.381797E-1	9.637499E-1	9.878399E-1	1.013317E+0	1.038492E+0	1.063167E+0	1.089128E+0
7.388339E-1	7.635513E-1	7.885829E-1	8.129330E-1	8.385392E-1	8.631556E-1	8.883650E-1	9.140581E-1	9.384314E-1	9.639257E-1	9.893579E-1	1.013843E+0	1.039370E+0	1.064147E+0	1.088574E+0
7.383289E-1	7.634023E-1	7.880658E-1	8.142336E-1	8.388685E-1	8.637319E-1	8.894751E-1	9.136225E-1	9.392666E-1	9.641596E-1	9.889852E-1	1.014528E+0	1.038593E+0	1.064388E+0	1.089628E+0
7.389172E-1	7.637075E-1	7.892563E-1	8.143288E-1	8.385595E-1	8.641649E-1	8.889783E-1	9.142820E-1	9.388448E-1	9.648007E-1	9.893191E-1	1.014037E+0	1.039528E+0	1.063963E+0	1.089379E+0
7.392937E-1	7.646659E-1	7.885543E-1	8.138571E-1	8.396825E-1	8.638670E-1	8.891032E-1	9.146751E-1	9.399049E-1	9.642836E-1	9.895124E-1	1.014852E+0	1.040212E+0	1.065239E+0	1.089591E+0
7.387997E-1	7.640090E-1	7.896874E-1	8.149060E-1	8.399157E-1	8.649973E-1	8.900865E-1	9.141609E-1	9.395673E-1	9.649080E-1	9.893598E-1	1.015102E+0	1.039556E+0	1.064933E+0	1.090443E+0
7.401123E-1	7.649369E-1	7.893822E-1	8.144639E-1	8.394355E-1	8.645163E-1	8.898358E-1	9.152218E-1	9.399567E-1	9.653973E-1	9.901442E-1	1.014953E+0	1.040369E+0	1.065526E+0	1.090017E+0
