-2.000000E-1	3.126160E-3	1.392370E-4	-1.141536E+0	3.573410E-1	9.190846E-1
-1.998000E-1	3.129970E-3	1.258860E-4	-1.140878E+0	0.000000E+0	0.000000E+0
-1.996000E-1	3.135700E-3	1.201630E-4	-1.138631E+0	0.000000E+0	0.000000E+0
-1.994000E-1	3.133790E-3	1.087190E-4	-1.137457E+0	0.000000E+0	0.000000E+0
-1.992000E-1	3.114720E-3	1.125340E-4	-1.136430E+0	0.000000E+0	0.000000E+0
-1.990000E-1	3.103270E-3	1.392370E-4	-1.135626E+0	0.000000E+0	0.000000E+0
-1.988000E-1	3.114720E-3	1.621260E-4	-1.134441E+0	0.000000E+0	0.000000E+0
-1.986000E-1	3.137600E-3	1.564040E-4	-1.133397E+0	0.000000E+0	0.000000E+0
-1.984000E-1	3.141420E-3	1.354230E-4	-1.132055E+0	0.000000E+0	0.000000E+0
-1.982000E-1	3.118530E-3	1.335150E-4	-1.131093E+0	0.000000E+0	0.000000E+0
-1.980000E-1	3.118530E-3	1.468670E-4	-1.129947E+0	0.000000E+0	0.000000E+0
-1.978000E-1	3.139510E-3	1.487740E-4	-1.129207E+0	0.000000E+0	0.000000E+0
-1.976000E-1	3.152860E-3	1.316080E-4	-1.127801E+0	0.000000E+0	0.000000E+0
-1.974000E-1	3.143330E-3	1.144410E-4	-1.126682E+0	0.000000E+0	0.000000E+0
-1.972000E-1	3.114720E-3	1.201630E-4	-1.125850E+0	0.000000E+0	0.000000E+0
-1.970000E-1	3.101360E-3	1.468670E-4	-1.124684E+0	0.000000E+0	0.000000E+0
-1.968000E-1	3.114720E-3	1.602180E-4	-1.123565E+0	0.000000E+0	0.000000E+0
-1.966000E-1	3.129970E-3	1.487740E-4	-1.122400E+0	0.000000E+0	0.000000E+0
-1.964000E-1	3.139510E-3	1.297010E-4	-1.121392E+0	0.000000E+0	0.000000E+0
-1.962000E-1	3.133790E-3	1.182560E-4	-1.120134E+0	0.000000E+0	0.000000E+0
-1.960000E-1	3.114720E-3	1.373300E-4	-1.119338E+0	0.000000E+0	0.000000E+0
-1.958000E-1	3.116620E-3	1.544960E-4	-1.118109E+0	0.000000E+0	0.000000E+0
-1.956000E-1	3.124250E-3	1.449590E-4	-1.116739E+0	0.000000E+0	0.000000E+0
-1.954000E-1	3.108990E-3	1.316080E-4	-1.115861E+0	0.000000E+0	0.000000E+0
-1.952000E-1	3.101360E-3	1.335150E-4	-1.114797E+0	0.000000E+0	0.000000E+0
-1.950000E-1	3.124250E-3	1.277930E-4	-1.113521E+0	0.000000E+0	0.000000E+0
-1.948000E-1	3.149050E-3	1.087190E-4	-1.112439E+0	0.000000E+0	0.000000E+0
-1.946000E-1	3.145230E-3	9.346050E-5	-1.111422E+0	0.000000E+0	0.000000E+0
-1.944000E-1	3.129970E-3	1.106270E-4	-1.110348E+0	0.000000E+0	0.000000E+0
-1.942000E-1	3.133790E-3	1.373300E-4	-1.109230E+0	0.000000E+0	0.000000E+0
-1.940000E-1	3.141420E-3	1.392370E-4	-1.108138E+0	0.000000E+0	0.000000E+0
-1.938000E-1	3.126160E-3	1.277930E-4	-1.107038E+0	0.000000E+0	0.000000E+0
-1.936000E-1	3.110900E-3	1.373300E-4	-1.105919E+0	0.000000E+0	0.000000E+0
